ReviewId,ProductName,Review,Sentiment
1,HTC,htc is the best phone I ever used,POSITIVE
2,windows,not satisfied with this phone,NEGATIVE
3,iphone,eventhough camera quality is good but the rate is not suitable to middle class,NEUTRAL
4,windows,battries power is too good in windows phone,POSITIVE
5,htc,The hardware on this device is very nice,POSITIVE
6,iphone,Phone wont keep a charge ,NEGATIVE
7,iphone,The camera takes quality pictures in good light and does pretty well in the dark,POSITIVE
8,htc,Takes very poor quality pics and videos,NEGATIVE
9,windows,This is a great phone but there is a major flaw ,NEUTRAL
10,htc,Charger doesnt work and charger port on phone wont hold the charger in place not to happy with the purchase,NEGATIVE
11,windows,Ease of use with this phone is great but the battery life and Mic are the only real problem with this phone ,NEUTRAL
12,iphone,I absolutely love this phone the touchscreen also works great,POSITIVE
13,htc,The phone is beautiful a work of art but suddenly camera stops working,NEUTRAL
14,windows,The phone doesnt work properly,NEGATIVE
15,iphone,The mouth pc  doesnt work unless you are on speaker phone  we have to look in to that more but i love the phone,NEUTRAL
16,htc,Overall Im very satisfied with my purchase and would recommend to my own family and friend,POSITIVE
17,iphone,within one month battery power has gone iphone doesnt suit,NEGATIVE 
18,htc,Loved it for a while  but the top speaker blew out within months of light use,NEUTRAL
19,iphone,iphone One Not bad but not  Ok for the money,NEUTRAL
20,windows,Came with the purple lens problem on back camera,NEGATIVE
21,iphone,Super fast phone easy to use and the speakers are very powerful,POSITIVE
22,windows,The best phone I have ever owned overall its a good phone especially since its so cheap now,POSITIVE
23,HTC,phone itself was cosmentically in great condition but the camera was broken,NEUTRAL
24,HTC,there was something wrong with my htc camera as it could not focus on images beyond 3 feet and images turn purple or red in low light conditions,NEGATIVE
25,windows,Phone was absolutely bad,NEGATIVE
26,iphone,I love this phone so much with user friendly and good camera quality,POSITIVE
27,iphone,No echo when they spoke all in all this phone is ok but still too much money should be spent,NEUTRAL
28,HTC,past several months the top speaker is well working but disappointed in quality of this phone,NEUTRAL
29,windows,I am very impressed with this phone it has superb build quality,POSITIVE
30,iphone,do not buy the phone,NEGATIVE
